"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 09 15:21:24 CDT 2021","Wed Jun 09 15:21:26 CDT 2021","1174","","Sort products by Price (low to high).","","Sort products by Price (low to high).","4.- Select 'Price (low to high)' option in the 'sort dropdown'","4.- Select 'Price (low to high)' option in the 'sort dropdown'","Select 'Price (low to high)' option in the 'sort dropdown'"
"passed","Wed Jun 09 15:37:22 CDT 2021","Wed Jun 09 15:37:23 CDT 2021","1699","","Logout from the home page.","","Logout from the home page.","4.- Click on the 'burger menu' -> 'LOGOUT' Button","4.- Click on the 'burger menu' -> 'LOGOUT' Button","Click on the 'burger menu' -> 'LOGOUT' Button"
"passed","Wed Jun 09 15:37:06 CDT 2021","Wed Jun 09 15:37:09 CDT 2021","3230","","Logout from the home page.","","Logout from the home page.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:24:24 CDT 2021","Wed Jun 09 15:24:53 CDT 2021","29223","","Complete a purchase.","","Complete a purchase.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","null"
"passed","Wed Jun 09 15:24:53 CDT 2021","Wed Jun 09 15:25:40 CDT 2021","47342","","Login with a valid user.","","Login with a valid user.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:37:09 CDT 2021","Wed Jun 09 15:37:10 CDT 2021","334","","Logout from the home page.","","Logout from the home page.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:25:40 CDT 2021","Wed Jun 09 15:25:44 CDT 2021","4003","","Sort products by Price (low to high).","","Sort products by Price (low to high).","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:26:00 CDT 2021","Wed Jun 09 15:26:02 CDT 2021","1261","","Complete a purchase.","","Complete a purchase.","13.- Click on 'FINISH' Button","13.- Click on 'FINISH' Button","Click on 'FINISH' Button"
"passed","Wed Jun 09 15:28:07 CDT 2021","Wed Jun 09 15:28:08 CDT 2021","1058","","Complete a purchase.","","Complete a purchase.","8.- Click on 'CHECKOUT' Button","8.- Click on 'CHECKOUT' Button","Click on 'CHECKOUT' Button"
"passed","Wed Jun 09 15:27:54 CDT 2021","Wed Jun 09 15:28:01 CDT 2021","6619","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","null"
